Plot ,Treatment,Time point,Algal taxa,Points,Points within dead coral,Total points
12,Retention,2022,Lobophora,119,101,756
12,Retention,2022,Asparagopsis,9,8,756
12,Retention,2022,Turbinaria,0,0,756
12,Retention,2022,Halimeda,1,1,756
12,Retention,2023,Lobophora,140,127,756
12,Retention,2023,Asparagopsis,13,10,756
12,Retention,2023,Turbinaria,1,1,756
12,Retention,2023,Halimeda,0,0,756
13,Retention,2019,Lobophora,0,0,863
13,Retention,2019,Asparagopsis,12,3,863
13,Retention,2019,Turbinaria,0,0,863
13,Retention,2019,Halimeda,0,0,863
13,Retention,2020,Lobophora,186,173,863
13,Retention,2020,Asparagopsis,13,8,863
13,Retention,2020,Turbinaria,0,0,863
13,Retention,2020,Halimeda,0,0,863
13,Retention,2021,Lobophora,71,69,863
13,Retention,2021,Asparagopsis,15,11,863
13,Retention,2021,Turbinaria,0,0,863
13,Retention,2021,Halimeda,1,1,863
13,Retention,2022,Lobophora,83,69,863
13,Retention,2022,Asparagopsis,25,11,863
13,Retention,2022,Turbinaria,0,0,863
13,Retention,2022,Halimeda,5,1,863
13,Retention,2023,Lobophora,34,30,863
13,Retention,2023,Asparagopsis,37,32,863
13,Retention,2023,Turbinaria,0,0,863
13,Retention,2023,Halimeda,30,18,863
14,Removal,2019,Lobophora,1,1,791
14,Removal,2019,Asparagopsis,0,0,791
14,Removal,2019,Turbinaria,0,0,791
14,Removal,2019,Halimeda,0,0,791
14,Removal,2020,Lobophora,70,49,791
14,Removal,2020,Asparagopsis,0,0,791
14,Removal,2020,Turbinaria,0,0,791
14,Removal,2020,Halimeda,0,0,791
14,Removal,2021,Lobophora,27,22,791
14,Removal,2021,Asparagopsis,34,22,791
14,Removal,2021,Turbinaria,0,0,791
14,Removal,2021,Halimeda,0,0,791
14,Removal,2022,Lobophora,36,29,791
14,Removal,2022,Asparagopsis,28,9,791
14,Removal,2022,Turbinaria,0,0,791
14,Removal,2022,Halimeda,0,0,791
14,Removal,2023,Lobophora,26,25,791
14,Removal,2023,Asparagopsis,27,12,791
14,Removal,2023,Turbinaria,0,0,791
14,Removal,2023,Halimeda,5,2,791
15,Removal,2019,Lobophora,1,1,881
15,Removal,2019,Asparagopsis,0,0,881
15,Removal,2019,Turbinaria,0,0,881
15,Removal,2019,Halimeda,0,0,881
15,Removal,2020,Lobophora,77,41,881
15,Removal,2020,Asparagopsis,3,0,881
15,Removal,2020,Turbinaria,0,0,881
15,Removal,2020,Halimeda,0,0,881
15,Removal,2021,Lobophora,30,27,881
